label,lon,lat
HH0,21.4272074,-30.7225247
HH1,21.4273599,-30.7225242
HH2,21.4275124,-30.7225237
HH3,21.4276648,-30.7225232
HH4,21.4278173,-30.7225227
HH5,21.4279698,-30.7225222
HH6,21.4281223,-30.7225216
HH7,21.4282748,-30.7225211
HH8,21.4284273,-30.7225206
HH9,21.4285798,-30.7225201
HH10,21.4287323,-30.7225196
HH11,21.4271306,-30.7224109
HH12,21.4272831,-30.7224104
HH13,21.4274356,-30.7224099
HH14,21.4275881,-30.7224094
HH15,21.4277406,-30.7224089
HH16,21.4278931,-30.7224083
HH17,21.4280456,-30.7224078
HH18,21.4281981,-30.7224073
HH19,21.4283505,-30.7224068
HH20,21.4285030,-30.7224063
HH21,21.4286555,-30.7224058
HH22,21.4288844,-30.7224431
HH23,21.4270539,-30.7222970
HH24,21.4272064,-30.7222965
HH25,21.4273589,-30.7222960
HH26,21.4275113,-30.7222955
HH27,21.4276638,-30.7222950
HH28,21.4278163,-30.7222945
HH29,21.4279688,-30.7222940
HH30,21.4281213,-30.7222934
HH31,21.4282738,-30.7222929
HH32,21.4284263,-30.7222924
HH33,21.4285788,-30.7222919
HH34,21.4288077,-30.7223293
HH35,21.4289602,-30.7223288
HH36,21.4269771,-30.7221832
HH37,21.4271296,-30.7221827
HH38,21.4272821,-30.7221822
HH39,21.4274346,-30.7221817
HH40,21.4275871,-30.7221812
HH41,21.4277396,-30.7221807
HH42,21.4278921,-30.7221801
HH43,21.4280446,-30.7221796
HH44,21.4281970,-30.7221791
HH45,21.4283495,-30.7221786
HH46,21.4285020,-30.7221781
HH47,21.4287309,-30.7222154
HH48,21.4288834,-30.7222149
HH49,21.4290359,-30.7222144
HH50,21.4269004,-30.7220693
HH51,21.4270529,-30.7220688
HH52,21.4272054,-30.7220683
HH53,21.4273578,-30.7220678
HH54,21.4275103,-30.7220673
HH55,21.4276628,-30.7220668
HH56,21.4278153,-30.7220663
HH57,21.4279678,-30.7220658
HH58,21.4281203,-30.7220652
HH59,21.4282728,-30.7220647
HH60,21.4284253,-30.7220642
HH61,21.4286542,-30.7221016
HH62,21.4288067,-30.7221011
HH63,21.4289592,-30.7221006
HH64,21.4291116,-30.7221001
HH65,21.4268236,-30.7219555
HH66,21.4269761,-30.7219550
HH67,21.4271286,-30.7219545
HH68,21.4272811,-30.7219540
HH69,21.4274336,-30.7219535
HH70,21.4275861,-30.7219530
HH71,21.4277386,-30.7219524
HH72,21.4278911,-30.7219519
HH73,21.4280435,-30.7219514
HH74,21.4281960,-30.7219509
HH75,21.4283485,-30.7219504
HH76,21.4285774,-30.7219877
HH77,21.4287299,-30.7219872
HH78,21.4288824,-30.7219867
HH79,21.4290349,-30.7219862
HH80,21.4291874,-30.7219857
HH81,21.4267469,-30.7218417
HH82,21.4268994,-30.7218412
HH83,21.4270519,-30.7218407
HH84,21.4272044,-30.7218402
HH85,21.4273568,-30.7218396
HH86,21.4275093,-30.7218391
HH87,21.4276618,-30.7218386
HH88,21.4278143,-30.7218381
HH89,21.4279668,-30.7218376
HH90,21.4281193,-30.7218371
HH91,21.4282718,-30.7218366
HH92,21.4285007,-30.7218739
HH93,21.4286532,-30.7218734
HH94,21.4288057,-30.7218729
HH95,21.4289581,-30.7218724
HH96,21.4291106,-30.7218719
HH97,21.4292631,-30.7218713
HH98,21.4266701,-30.7217278
HH99,21.4268226,-30.7217273
HA325,21.4265277,-30.7240101
HA326,21.4280523,-30.7239290
HA327,21.4295772,-30.7239240
HA330,21.4257602,-30.7228717
HA331,21.4303346,-30.7227805
HA334,21.4249928,-30.7217333
HA335,21.4310920,-30.7216371
HA338,21.4257502,-30.7205899
HA339,21.4303251,-30.7206508
HA342,21.4265079,-30.7195225
HA343,21.4280328,-30.7195175
HA344,21.4295576,-30.7195124
HB320,21.4257703,-30.7251535
HB321,21.4272949,-30.7250724
HB322,21.4288198,-30.7250674
HB323,21.4303447,-30.7250624
HB324,21.4250028,-30.7240151
HB328,21.4311021,-30.7239189
HB329,21.4242353,-30.7228767
HB332,21.4318595,-30.7227755
HB333,21.4234679,-30.7217382
HB336,21.4326169,-30.7216320
HB337,21.4242253,-30.7205948
HB340,21.4318500,-30.7206458
HB341,21.4249828,-30.7194514
HB345,21.4310825,-30.7195074
HB346,21.4257405,-30.7183841
HB347,21.4272653,-30.7183791
HB348,21.4287902,-30.7183741
HB349,21.4303150,-30.7183690
HH100,21.4269751,-30.7217268
HH101,21.4271276,-30.7217263
HH102,21.4272801,-30.7217258
HH103,21.4274326,-30.7217253
HH104,21.4275851,-30.7217248
HH105,21.4277376,-30.7217242
HH106,21.4278901,-30.7217237
HH107,21.4280425,-30.7217232
HH108,21.4281950,-30.7217227
HH109,21.4284239,-30.7217601
HH110,21.4285764,-30.7217596
HH111,21.4287289,-30.7217591
HH112,21.4288814,-30.7217586
HH113,21.4290339,-30.7217581
HH114,21.4291864,-30.7217575
HH115,21.4293389,-30.7217570
HH116,21.4265934,-30.7216140
HH117,21.4267459,-30.7216135
HH118,21.4268984,-30.7216130
HH119,21.4270509,-30.7216125
HH120,21.4272033,-30.7216120
HH121,21.4273558,-30.7216114
HH122,21.4275083,-30.7216109
HH123,21.4276608,-30.7216104
HH124,21.4278133,-30.7216099
HH125,21.4279658,-30.7216094
HH126,21.4281183,-30.7216089
HH127,21.4283472,-30.7216462
HH128,21.4284997,-30.7216457
HH129,21.4286522,-30.7216452
HH130,21.4288046,-30.7216447
HH131,21.4289571,-30.7216442
HH132,21.4291096,-30.7216437
HH133,21.4292621,-30.7216431
HH134,21.4294146,-30.7216426
HH135,21.4265166,-30.7215001
HH136,21.4266691,-30.7214996
HH137,21.4268216,-30.7214991
HH138,21.4269741,-30.7214986
HH139,21.4271266,-30.7214981
HH140,21.4272791,-30.7214976
HH141,21.4274316,-30.7214971
HH142,21.4275841,-30.7214966
HH143,21.4277366,-30.7214960
HH144,21.4278890,-30.7214955
HH145,21.4280415,-30.7214950
HH146,21.4282704,-30.7215324
HH147,21.4284229,-30.7215319
HH148,21.4285754,-30.7215314
HH149,21.4287279,-30.7215309
HH150,21.4288804,-30.7215304
HH151,21.4290329,-30.7215298
HH152,21.4291854,-30.7215293
HH153,21.4293379,-30.7215288
HH154,21.4294903,-30.7215283
HH155,21.4265160,-30.7213479
HH156,21.4266685,-30.7213474
HH157,21.4268210,-30.7213469
HH158,21.4269734,-30.7213464
HH159,21.4271259,-30.7213459
HH160,21.4272784,-30.7213454
HH161,21.4274309,-30.7213449
HH162,21.4275834,-30.7213444
HH163,21.4277359,-30.7213439
HH164,21.4278884,-30.7213434
HH165,21.4280409,-30.7213429
HH166,21.4281937,-30.7214185
HH167,21.4283462,-30.7214180
HH168,21.4284987,-30.7214175
HH169,21.4286511,-30.7214170
HH170,21.4288036,-30.7214165
HH171,21.4289561,-30.7214160
HH172,21.4291086,-30.7214155
HH173,21.4292611,-30.7214149
HH174,21.4294136,-30.7214144
HH175,21.4295661,-30.7214139
HH176,21.4265917,-30.7212336
HH177,21.4267442,-30.7212331
HH178,21.4268967,-30.7212326
HH179,21.4270492,-30.7212321
HH180,21.4272017,-30.7212316
HH181,21.4273542,-30.7212311
HH182,21.4275066,-30.7212306
HH183,21.4276591,-30.7212301
HH184,21.4278116,-30.7212296
HH185,21.4279641,-30.7212291
HH186,21.4281166,-30.7212286
HH187,21.4282694,-30.7213042
HH188,21.4284219,-30.7213037
HH189,21.4285744,-30.7213032
HH190,21.4287269,-30.7213027
HH191,21.4288794,-30.7213022
HH192,21.4290319,-30.7213016
HH193,21.4291844,-30.7213011
HH194,21.4293368,-30.7213006
HH195,21.4294893,-30.7213001
HH196,21.4266675,-30.7211193
HH197,21.4268199,-30.7211188
HH198,21.4269724,-30.7211183
HH199,21.4271249,-30.7211178
HH200,21.4272774,-30.7211173
HH201,21.4274299,-30.7211168
HH202,21.4275824,-30.7211163
HH203,21.4277349,-30.7211158
HH204,21.4278874,-30.7211153
HH205,21.4280399,-30.7211148
HH206,21.4281923,-30.7211143
HH207,21.4283452,-30.7211899
HH208,21.4284977,-30.7211894
HH209,21.4286501,-30.7211889
HH210,21.4288026,-30.7211883
HH211,21.4289551,-30.7211878
HH212,21.4291076,-30.7211873
HH213,21.4292601,-30.7211868
HH214,21.4294126,-30.7211863
HH215,21.4267432,-30.7210049
HH216,21.4268957,-30.7210044
HH217,21.4270482,-30.7210039
HH218,21.4272007,-30.7210034
HH219,21.4273532,-30.7210029
HH220,21.4275056,-30.7210024
HH221,21.4276581,-30.7210019
HH222,21.4278106,-30.7210014
HH223,21.4279631,-30.7210009
HH224,21.4281156,-30.7210004
HH225,21.4282681,-30.7209999
HH226,21.4284209,-30.7210755
HH227,21.4285734,-30.7210750
HH228,21.4287259,-30.7210745
HH229,21.4288784,-30.7210740
HH230,21.4290309,-30.7210734
HH231,21.4291833,-30.7210729
HH232,21.4293358,-30.7210724
HH233,21.4268189,-30.7208906
HH234,21.4269714,-30.7208901
HH235,21.4271239,-30.7208896
HH236,21.4272764,-30.7208891
HH237,21.4274289,-30.7208886
HH238,21.4275814,-30.7208881
HH239,21.4277339,-30.7208876
HH240,21.4278864,-30.7208871
HH241,21.4280388,-30.7208866
HH242,21.4281913,-30.7208861
HH243,21.4283438,-30.7208856
HH244,21.4284966,-30.7209612
HH245,21.4286491,-30.7209607
HH246,21.4288016,-30.7209601
HH247,21.4289541,-30.7209596
HH248,21.4291066,-30.7209591
HH249,21.4292591,-30.7209586
HH250,21.4268947,-30.7207763
HH251,21.4270472,-30.7207758
HH252,21.4271997,-30.7207753
HH253,21.4273521,-30.7207748
HH254,21.4275046,-30.7207743
HH255,21.4276571,-30.7207738
HH256,21.4278096,-30.7207733
HH257,21.4279621,-30.7207728
HH258,21.4281146,-30.7207723
HH259,21.4282671,-30.7207718
HH260,21.4284196,-30.7207713
HH261,21.4285724,-30.7208468
HH262,21.4287249,-30.7208463
HH263,21.4288774,-30.7208458
HH264,21.4290298,-30.7208452
HH265,21.4291823,-30.7208447
HH266,21.4269704,-30.7206619
HH267,21.4271229,-30.7206614
HH268,21.4272754,-30.7206609
HH269,21.4274279,-30.7206604
HH270,21.4275804,-30.7206599
HH271,21.4277329,-30.7206594
HH272,21.4278853,-30.7206589
HH273,21.4280378,-30.7206584
HH274,21.4281903,-30.7206579
HH275,21.4283428,-30.7206574
HH276,21.4284953,-30.7206569
HH277,21.4286481,-30.7207325
HH278,21.4288006,-30.7207319
HH279,21.4289531,-30.7207314
HH280,21.4291056,-30.7207309
HH281,21.4270462,-30.7205476
HH282,21.4271987,-30.7205471
