element,east_m,north_m
D1,0.4262,8.3229
D2,-13.4799,4.0018
D3,-7.8530,-16.0240
D4,4.0948,-5.0731
D5,14.8173,7.5214
D6,3.4522,-18.6808
D7,-9.3374,10.5005
D8,11.3443,-2.3688
D9,-16.7245,-8.9682
D10,12.7456,-13.9149
D11,17.2275,-3.0953
D12,7.1480,-9.7593
D13,0.2756,-5.3530
D14,15.6699,-7.0336
D15,-10.4656,6.5628
D16,-4.3390,-8.4181
D17,-15.4170,0.6570
D18,0.0730,-15.5371
D19,-9.7677,12.7976
D20,-16.8048,1.7530
D21,6.8664,-0.7414
D22,-0.2290,5.3653
D23,-4.0180,-5.1841
D24,-7.2966,-14.3006
D25,-6.3130,12.2172
D26,3.8716,-3.1006
D27,-9.8083,-4.7584
D28,-5.7723,-4.8514
D29,10.6068,15.7459
D30,0.8365,-3.6154
D31,-1.0672,3.7019
D32,6.0860,-14.1374
D33,-1.3624,-10.6496
D34,3.3886,-7.1013
D35,-5.1547,-12.9562
D36,4.3511,-13.4393
D37,9.6340,-0.0852
D38,13.9168,-11.6407
D39,6.1710,4.1316
D40,12.3800,6.0546
D41,-6.9437,-12.5383
D42,-1.4613,11.1511
D43,0.9694,-7.4345
D44,4.2265,-8.6536
D45,1.9542,-15.8503
D46,-1.2709,-13.1880
D47,2.1479,-10.4227
D48,-11.5536,12.2895
D49,9.2966,11.1533
D50,6.8369,6.6823
D51,-7.7665,4.7608
D52,0.7502,-11.5156
D53,14.3095,5.6183
D54,-0.4962,-17.2373
D55,6.9927,-17.6588
D56,8.3903,12.7361
D57,11.8685,2.7506
D58,-2.0338,5.6812
D59,-5.8688,1.9038
D60,7.4887,2.8787
D61,7.7722,-4.7183
D62,-3.0908,-13.5589
D63,-16.2153,-0.9688
D64,0.1066,10.1561
D65,-4.7373,-3.2408
D66,-2.6697,7.4442
D67,4.1560,-1.2963
D68,12.6395,-3.6452
D69,-4.7435,16.8917
D70,-4.0474,1.8321
D71,8.1429,-15.1602
D72,10.5003,9.6890
D73,3.3160,7.7356
D74,-4.9990,-1.4554
D75,10.9074,-4.1195
D76,-4.4293,8.6900
D77,13.5438,-7.1005
D78,6.7591,9.9821
D79,5.3117,-6.8648
D80,-11.5008,-10.1017
D81,-12.2135,2.6985
D82,-11.5915,-5.2294
D83,1.6508,6.9302
D84,2.7954,-14.2850
D85,-8.4225,-0.7034
D86,-6.9248,-6.2650
D87,11.9715,-8.4798
D88,-4.2514,-15.9564
D89,4.9933,-16.8698
D90,10.3342,-9.4877
D91,-3.9146,5.4894
D92,0.4253,2.5953
D93,13.2289,-9.8530
D94,15.1263,2.9440
D95,13.4342,-1.1565
D96,11.6108,12.2653
D97,-6.8809,0.4078
D98,3.2118,5.8523
D99,0.4794,-18.7909
D100,-0.7417,13.8214
D101,-5.0091,0.3353
D102,-7.8450,17.0771
D103,-2.9961,-3.6645
D104,13.1349,4.3091
D105,8.4594,9.4826
D106,-10.4549,2.2736
D107,-9.3481,3.8003
D108,2.1544,12.7536
D109,15.9773,1.2671
D110,-6.3385,3.6540
D111,-0.8029,15.7038
D112,-0.0332,-2.0399
D113,-5.4288,10.1849
D114,-7.4040,13.7590
D115,-15.0420,4.9307
D116,1.8729,1.5208
D117,7.0432,-6.3464
D118,18.7553,-1.9883
D119,10.1292,-6.9551
D120,2.2841,-8.6255
D121,-8.5477,1.0675
D122,-13.9883,7.5255
D123,-17.0499,-2.7893
D124,5.0295,2.7897
D125,5.1253,5.5523
D126,5.0778,7.3489
D127,8.3257,5.6354
D128,-11.4542,15.1068
D129,6.5295,-15.9422
D130,4.8472,14.6628
D131,3.9252,1.3478
D132,-13.8337,-0.7565
D133,-2.5079,-8.4637
D134,-15.2498,8.8556
D135,-2.7826,4.0686
D136,1.9774,-17.7168
D137,-5.5463,-14.7402
D138,10.1088,5.8343
D139,-1.3498,8.8516
D140,-5.7852,5.3849
D141,-11.3993,9.0576
D142,-12.1551,7.4053
D143,-9.6250,8.6254
D144,7.2373,-3.0397
D145,-1.8644,-2.2874
D146,-2.8260,-11.7635
D147,6.5765,15.5015
D148,-4.9183,14.8920
D149,-10.0756,0.0959
D150,15.1234,-0.3507
D151,-2.5501,-16.7107
D152,2.4346,3.2377
D153,12.7594,-5.4518
D154,3.4850,11.4927
D155,-10.0567,-2.5577
D156,1.1329,-0.7118
D157,-13.2153,-4.0994
D158,-15.4846,-3.9062
D159,-8.2595,-2.5116
D160,-14.7125,2.5919
D161,-4.9087,6.9798
D162,-2.6296,0.5724
D163,8.6482,-16.8898
D164,-13.4428,1.2888
D165,-4.0052,11.3799
D166,3.7494,9.7164
D167,11.3084,4.4630
D168,-15.8086,10.5347
D169,-9.3449,-7.8711
D170,-4.6777,-11.2149
D171,15.8343,10.4552
D172,-8.6795,-12.8730
D173,5.2478,0.0882
D174,-16.2557,3.6207
